Age_client,Age_car,Driver2,Payment_annual,Client_seniority
36,19,1,1,8.1040383299
37,7,0,0,7.4387405886
82,2,0,1,13.801505818
80,9,0,0,33.785078713
72,14,0,1,21.503080082
72,20,1,1,10.778918549
67,0,1,0,16.158795346
67,19,0,1,7.6249144422
60,9,1,1,10.242299795
59,10,0,1,11.249828884
58,0,0,1,16.574948665
55,0,0,1,16.769336071
55,13,0,1,6.5325119781
52,19,1,1,7.4004106776
48,6,0,1,9.0321697467
47,3,0,1,6.2915811088
45,0,0,0,9.7029431896
47,0,0,1,13.034907598
45,18,0,1,7.4113620808
37,9,0,1,7.0855578371
41,11,0,1,7.0417522245
33,12,0,0,5.0978781656
33,7,0,0,6.045174538
80,0,0,1,9.4264202601
72,10,0,1,7.8548939083
76,12,0,1,10.683093771
71,7,0,0,9.9685147159
55,0,0,0,19.006160164
85,0,0,1,8.6844626968
70,0,0,1,15.496235455
65,0,0,1,14.387405886
67,6,0,1,12.618754278
62,6,0,1,7.4195756331
59,0,0,0,9.87816564
60,0,0,1,10.754277892
61,16,0,1,8.076659822
61,11,0,1,10.020533881
55,6,0,1,8.9691991786
51,17,1,1,5.6810403833
48,8,0,1,5.4483230664
49,7,0,1,5.1143052704
46,9,0,1,5.6618754278
37,6,1,1,5.9630390144
39,3,1,0,5.5961670089
81,0,0,1,11.843942505
80,0,0,0,15.597535934
80,0,1,1,15.945242984
80,22,0,0,19.655030801
81,2,0,1,7.279945243
73,7,0,1,15.425051335
74,21,0,1,19.244353183
83,0,0,1,15.12936345
77,21,0,1,5.7686516085
75,7,1,1,7.1676933607
78,0,0,1,16.057494867
76,0,0,1,13.727583847
71,1,0,1,6.8062970568
67,10,0,1,10.757015743
66,0,0,1,9.7002053388
74,8,0,1,6.9623545517
83,0,1,1,17.3908282
72,10,0,1,5.9466119097
70,0,0,1,16.873374401
70,16,0,1,8.5859000684
63,21,0,1,7.5783709788
64,0,0,1,12.232717317
66,0,0,1,13.363449692
63,5,0,1,5.9219712526
61,15,0,0,7.022587269
62,0,0,1,17.579739904
64,11,0,1,9.7138945927000009
59,3,0,1,9.2457221081
63,25,0,1,16.251882272
55,0,0,1,12.925393566
56,6,1,1,11.649555099
58,15,0,0,5.9657768652
51,5,1,1,8.7419575633
53,0,0,1,12.090349076
58,0,0,1,10.395619439
53,12,1,1,7.2032854209
55,6,1,0,7.5592060233
55,12,0,1,6.6557152635
49,5,0,1,7.2306639288
48,6,0,1,5.3935660507
48,14,0,1,10.19301848
40,12,1,1,6.9404517454
35,5,0,1,6.5544147844
34,11,0,0,6.9377138946
31,9,0,1,5.7522245038
70,2,0,1,5.9247091034
85,13,0,1,6.4065708419
85,0,0,1,17.505817933
85,0,0,1,24.895277207
83,0,0,1,18.962354552
81,7,0,1,6.0232717317
76,4,0,1,5.4866529774
85,0,0,1,18.32991102
84,13,0,1,5.5167693361
83,11,0,1,15.044490075
85,0,0,0,12.407939767
79,14,1,1,6.6557152635
85,9,0,1,8.5557837098
71,0,0,1,18.034223135
75,3,0,1,8.758384668
76,13,0,1,11.170431211
80,0,0,1,15.797399042
74,12,0,0,11.748117728
76,15,0,1,15.707049966
55,9,0,1,7.5947980835
72,0,0,1,13.382614648
85,10,0,1,16
77,0,0,1,18.896646133
72,0,0,1,16.772073922
77,15,0,1,8.219028063
71,9,1,0,5.1471594798
72,16,0,1,15.118412047
68,6,1,1,9.6810403833
72,19,0,1,17.237508556
68,5,0,1,6.2067077344
73,14,0,1,13.045859001
73,20,0,1,6.6228610541
73,6,0,1,5.9219712526
59,17,0,1,7.1293634497
70,16,0,1,7.0965092402
75,0,0,1,12.703627652
71,18,0,1,6.1108829569
73,0,0,1,17.075975359
70,13,1,1,15.123887748
68,10,0,1,15.069130732
68,13,0,1,8.1889117043
67,10,1,0,10.674880219
62,0,1,1,22.800821355
67,0,0,1,22.937713895
68,11,0,1,8.476386037
66,13,0,1,5.7577002053
62,21,0,1,19.542778919
66,0,0,1,25.409993155
65,19,0,1,17.349760438
63,11,0,1,5.3552361396
62,11,0,1,6.7515400411
58,3,1,0,6.2861054073
61,7,1,0,6.2587268994
63,15,1,1,8.7638603696
65,3,0,1,15.318275154
64,0,0,1,22.811772758
60,0,1,1,10.464065708
57,0,0,1,14.455852156
56,21,1,1,7.9370294319
58,0,0,1,14.784394251
59,6,1,1,7.5482546201
56,0,0,1,15.608487337
58,7,1,0,9.3990417522
58,12,0,1,17.667351129
56,7,0,0,14.934976044
53,7,0,1,10.751540041
54,9,0,1,7.5701574264
55,8,0,1,7.0034223135
65,15,0,1,19.58384668
52,10,0,1,6.1793292266
52,13,1,1,6.4093086927
55,6,0,0,9.6755646817
57,0,0,1,17.42642026
53,10,0,1,12.229979466
56,16,1,0,14.98973306
56,0,0,1,10.231348392
49,7,0,1,10.694045175
54,10,1,1,9.0075290897
52,14,0,1,11.290896646
49,0,0,0,13.423682409
54,9,0,1,24.260095825
50,5,0,1,6.2559890486
83,0,1,0,17.404517454
72,0,0,1,12.952772074
57,14,0,1,14.318959617
48,5,0,0,6.083504449
48,17,0,1,7.4223134839
50,11,0,0,9.5468856947
47,9,0,1,5.0102669405
49,0,0,1,9.8370978782
54,11,0,1,7.3976728268
52,3,0,0,5.4702258727
57,16,0,1,7.3757700205
52,17,0,1,5.4072553046
45,9,0,1,5.2922655715
53,6,0,0,8.3367556468
56,12,0,1,11.028062971
51,5,1,0,6.083504449
50,0,0,0,10.502395619
48,4,0,0,7.5865845311
50,11,0,0,10.696783025
50,19,0,1,7.5509924709
48,5,1,0,5.4182067077
51,11,0,1,6.3244353183
84,10,1,1,17.916495551
69,14,0,1,21.94934976
73,13,0,1,7.9123887748
71,2,0,1,15.101984942
67,13,0,1,7.485284052
76,12,0,1,7.9397672827
69,16,0,1,6.4284736482
68,6,0,1,20.273785079
67,10,0,1,8.6981519507
61,14,0,1,18.759753593
71,8,0,1,18.819986311
59,7,0,0,16.27652293
61,8,1,1,5.1991786448
59,3,1,1,8.2245037645
60,0,0,1,15.509924709
54,12,1,1,6.1519507187
51,4,0,1,6.3299110198
42,5,0,0,6.0013689254000004
53,12,0,0,17.500342231
42,11,0,0,10.940451745
44,11,0,1,9.6783025325
43,1,0,1,10.239561944
45,12,0,1,6.4585900068
39,11,0,1,5.9192334018
33,4,1,0,6.0752908966
79,8,0,1,5.4236824093
70,4,0,1,6.0314852841
62,0,1,1,15.181382615
62,0,1,0,17.733059548
74,10,0,1,5.9466119097
81,8,0,1,16.232717317
77,0,0,1,18.047912389
77,0,0,1,14.584531143
71,6,0,1,6.3737166324
72,9,0,1,7.8932238193
69,15,0,0,6.9349760438
78,5,0,0,9.3497604381
64,11,0,1,8.6105407255
67,7,0,1,5.5961670089
66,3,0,1,17.590691307
65,0,0,1,16.257357974
64,9,0,1,13.075975359
66,18,0,1,7.5017111567
61,17,0,1,16.114989733
56,8,1,0,17.9137577
57,9,0,0,9.2621492129
54,5,1,1,5.4182067077
58,0,1,1,8.6680355921
54,5,1,0,8.0273785079
55,12,1,1,8.2792607803
55,8,1,1,5.8836413415
54,19,0,1,5.9301848049
55,12,0,1,6.0698151951
50,0,0,1,17.448323066
53,10,0,0,13.054072553
49,6,0,1,6.841889117
49,15,0,1,5.144421629
46,0,0,1,14.280629706
80,0,0,1,14.751540041
71,0,0,1,15.159479808
70,12,0,1,7.3456536619
71,14,1,1,6.0616016427
71,23,0,1,5.1800136893
66,0,0,0,15.592060233
67,5,1,0,7.9780971937
68,8,0,1,5.9520876112
68,15,1,1,6.160164271
64,12,0,1,11.156741958
58,9,0,0,6.4996577687
56,13,0,1,8.128678987
56,9,0,1,7.3100616016
46,4,0,1,6.1190965092
52,0,0,1,20.687200548
49,0,0,0,15.40862423
42,10,0,1,8.205338809
40,9,0,1,10.702258727
85,15,0,1,17.541409993
71,0,0,1,16.268309377
71,10,0,1,8.0547570157
72,12,0,0,7.0417522245
63,42,0,1,5.8425735797
59,0,0,0,12.438056126
58,14,0,1,9.6235455168
58,5,0,1,5.7549623546
54,10,0,1,7.6550308008
53,20,0,1,9.3935660507
54,13,0,1,7.3456536619
44,0,0,1,10.50513347
83,22,0,1,7.5893223819
79,0,0,1,13.839835729
40,7,0,1,6.8583162218
46,14,1,1,5.3169062286
43,10,0,0,8.3449691992
38,0,0,0,13.248459959
35,6,0,1,8.9555099247
85,10,0,1,6.4038329911
76,14,0,0,9.568788501
69,9,0,0,5.9192334018
66,12,0,1,8.0301163587
60,0,0,1,8.6214921287
60,18,0,1,16.689938398
58,11,0,0,5.9822039699
53,3,1,1,6.2258726899
52,0,0,1,14.743326489
53,11,0,0,11.764544832
74,10,0,1,18.245037645
51,19,1,1,6.083504449
42,7,0,0,7.9123887748
41,5,0,1,6.5817932923
42,10,0,1,5.0841889117
46,8,0,1,10.53798768
49,15,0,1,7.6550308008
49,0,0,1,18.776180698
46,13,0,1,5.9411362081
45,14,0,1,5.9329226557
44,17,0,1,18.209445585
43,26,0,1,13.404517454
44,0,0,1,16.501026694
42,9,0,1,5.2511978097
45,12,0,1,10.795345654
44,8,0,1,6.5927446954
44,4,0,1,6.5160848734
79,0,0,1,27.660506502
81,16,0,1,14.239561944
77,0,0,1,20.435318275
74,0,0,1,16.845995893
85,23,0,1,14.743326489
81,0,0,1,30.587268994
82,0,0,1,22.795345654
78,0,0,1,8.8624229979
73,9,0,1,16.265571526
76,4,0,0,7.2717316906
81,25,0,1,19.901437372
75,0,0,1,16.843258042
74,1,0,1,18.031485284
75,0,0,1,14.428473648
71,10,0,1,5.5222450376
68,6,1,0,9.7823408624
72,13,0,1,13.171800137
72,7,0,1,7.742642026
69,0,0,1,16.446269678
77,11,0,1,8.8350444901
73,8,0,1,5.9958932238
64,0,0,1,12.054757016
64,3,0,0,5.5414099932
63,0,0,1,14.88569473
62,3,1,0,6.4558521561
66,10,0,1,10.617385352
65,20,0,1,20.158795346
62,0,0,1,15.006160164
60,4,0,1,7.2881587953
67,0,1,1,16.714579055
63,0,0,1,13.338809035
64,9,0,1,9.273100616
65,10,0,0,5.839835729
61,0,0,1,8.9117043121
63,0,0,1,16.021902806
63,7,0,1,5.2676249144
57,13,0,1,5.839835729
58,0,1,0,12.358658453
51,7,1,1,10.255989049
55,11,0,1,5.2156057495
54,0,0,1,11.206023272
55,9,0,1,9.015742642
56,0,0,0,15.353867214
82,25,0,1,23.575633128
48,7,0,1,8.076659822
44,10,0,0,10.557152635
44,14,0,1,7.7097878166
74,4,0,0,6.6310746064
64,3,0,0,7.0116358658
44,21,0,1,7.1759069131
42,12,0,0,8.2108145106
67,10,0,1,8.6516084873
39,8,0,1,7.1321013005
69,13,0,1,19.110198494
65,11,0,1,6.6201232033
41,4,0,1,5.2511978097
70,8,0,1,10.061601643
62,9,0,1,10.527036277
66,9,0,0,7.5564681725
55,1,0,1,5.9000684463
39,8,0,0,5.3059548255
39,12,0,1,6.8364134155
31,14,0,1,6.250513347
77,9,0,1,6.7953456537
83,19,0,1,5.5441478439
80,4,0,1,15.901437372
80,13,0,1,6.3709787817
77,22,0,1,5.9986310746
