Age_client,Age_car,Driver2,Payment_annual,Client_seniority,Retention
63,0,0,0,12.673511294,1
64,10,0,0,7.0280629706,1
63,0,0,1,13.678302533,1
64,9,0,0,8.1697467488,1
56,6,1,1,5.7002053388,0
58,12,0,0,6.9760438056,0
56,10,0,0,5.6947296372,0
56,5,1,0,8.1067761807,1
85,0,0,1,16.38329911,1
85,24,0,1,6.3983572895,1
80,19,1,1,6.250513347,1
81,8,0,1,6.6420260096,1
79,0,0,1,12.17522245,1
76,8,0,1,6.5434633812,1
75,22,0,1,5.7330595483,1
75,0,1,0,17.875427789,1
70,7,0,1,7.1156741958,0
68,0,0,0,19.518138261,0
69,0,1,1,21.80698152,1
73,10,0,1,7.9945242984,1
71,0,0,0,15.942505133,1
71,7,0,1,9.0266940452,1
70,0,0,1,16.542094456,1
66,12,0,0,6.6721423682,1
73,19,0,1,6.1492128679,0
65,16,0,1,6.6173853525,0
68,14,0,1,22.948665298,1
69,6,0,1,6.6064339493,1
54,0,0,1,15.871321013,0
78,8,0,1,6.4585900068,1
79,0,0,1,14.472279261,1
79,1,0,1,6.6475017112,1
76,5,0,1,6.3490759754,0
74,0,1,1,16.427104723,1
74,7,0,1,6.3627652293,1
74,8,0,1,6.5954825462,1
68,17,0,1,7.9178644764,0
81,19,0,1,7.1348391513,1
71,16,0,1,6.8446269678,1
72,0,0,1,15.835728953,1
72,0,0,1,12.449007529,1
66,3,0,1,6.4668035592,0
65,0,0,1,15.080082136,1
53,22,0,1,6.8281998631,1
55,10,1,1,9.1006160164,1
49,7,1,0,6.7761806982,1
52,10,0,1,5.6618754278,1
49,17,0,0,7.4168377823,1
53,9,0,0,7.241615332,1
49,6,0,0,5.4318959617,0
48,13,0,0,7.5728952772,1
54,8,1,1,6.417522245,0
53,5,0,0,7.2498288843,1
53,3,1,0,6.7433264887,1
57,0,0,1,12.668035592,1
51,6,0,1,13.138945927,1
38,0,0,1,9.8316221766,0
43,12,0,0,6.6858316222,1
35,11,0,1,5.8809034908,1
85,11,0,1,5.4318959617,1
84,16,0,0,5.8863791923,1
79,0,0,1,11.403148528,1
77,14,0,1,7.4962354552,1
79,8,0,1,6.4010951403,1
79,17,0,1,5.1608487337,1
72,0,0,1,38.937713895,0
69,0,0,1,10.729637235,1
68,7,1,1,10.299794661,0
68,5,0,1,6.4503764545,0
68,0,0,1,15.597535934,0
70,0,0,1,17.590691307,1
68,8,0,1,5.9904175222,1
65,6,0,1,10.836413415,0
59,12,0,1,15.559206023,0
64,3,0,1,7.3100616016,1
60,0,0,0,16.054757016,1
62,11,0,1,6.4421629021,1
58,11,1,0,5.5934291581,1
44,7,1,1,10.576317591,0
55,11,0,1,23.173169062,0
58,9,1,1,5.5770020534,1
83,1,0,0,8.2792607803,0
77,0,0,1,17.579739904,0
77,2,0,1,8.1697467488,1
69,0,0,1,10.412046543,1
66,20,0,0,6.0287474333,0
67,17,0,1,6.4859685147,0
64,4,0,1,5.6700889802,0
68,2,0,1,21.626283368,1
66,12,0,1,5.6153319644,1
64,9,0,1,7.5701574264,1
62,17,0,1,6.4722792608,1
61,8,0,1,5.1663244353,1
59,22,0,1,6.4585900068,1
49,5,0,1,7.4524298426,1
50,11,0,0,5.5468856947,1
42,9,0,0,10.234086242,1
41,18,1,1,7.227926078,1
42,0,0,0,15.920602327,1
44,12,0,1,8.0328542094,1
36,4,0,0,5.6919917864,0
37,11,1,1,5.6783025325,1
53,5,0,0,6.2149212868,1
72,8,0,1,23.370294319,0
74,0,0,1,17.084188912,1
73,0,0,1,27.039014374,1
73,8,0,1,6.1546885695,1
73,14,0,1,8.0301163587,1
72,13,0,1,7.2580424367,1
70,11,0,1,7.4332648871,1
70,7,0,0,9.4264202601,1
67,8,0,0,6.7597535934,1
65,2,0,1,7.2443531828,1
60,0,1,1,15.676933607,1
55,8,0,0,10.559890486,0
58,0,1,1,13.204654346,1
59,5,0,1,6.6721423682,1
56,8,0,0,7.819301848,0
51,0,1,0,10.715947981,1
51,5,0,0,8.6023271732,0
53,0,0,1,8.5749486653,0
52,11,0,1,16.963723477,1
52,19,0,0,7.1923340178,1
50,7,1,1,11.764544832,0
54,9,0,0,5.5030800821,1
41,9,0,1,7.0828199863,1
46,9,1,0,8.4709103354,1
42,8,0,0,9.6180698152,1
51,2,0,0,7.7289527721,1
52,12,0,1,7.3429158111,1
48,13,0,1,6.5817932923,1
43,8,0,1,6.4969199179,0
37,5,0,1,8.9199178645,0
40,7,0,1,10.039698836,1
36,18,0,1,6.0041067762,0
